po_line_id,po_id,part_id,qty,unit_price,line_amount
9000276,500284,20133,21.0,36.73,771.33
9000277,500026,20210,21.0,22.48,472.08
9000278,500401,20312,48.0,15.11,725.28
9000279,500359,20091,21.0,15.49,325.29
9000280,500059,20336,4.0,9.98,39.92
9000281,500201,20126,1.0,84.94,84.94
9000282,500761,20190,26.0,39.11,1016.86
9000283,500873,20158,2.0,28.85,57.7
9000284,500580,20330,9.0,9.19,82.71
9000285,500369,20334,45.0,15.32,689.4
9000286,500532,20009,18.0,11.19,201.42
9000287,500151,20106,48.0,21.68,1040.64
9000288,500101,20086,48.0,11.51,552.48
9000289,500898,20066,42.0,13.43,564.06
9000290,500606,20061,41.0,11.7,479.7
9000291,500445,20145,11.0,17.39,191.29
9000292,500872,20152,25.0,20.97,524.25
9000293,500228,20106,26.0,17.67,459.42
9000294,500124,20147,36.0,50.39,1814.04
9000295,500769,20185,42.0,32.68,1372.56
9000296,500833,20348,35.0,12.56,439.6
9000297,500880,20341,38.0,24.42,927.96
9000298,500235,20177,3.0,13.19,39.57
9000299,500161,20334,41.0,15.85,649.85
9000300,500553,20265,35.0,26.78,937.3
9000301,500787,20148,40.0,29.95,1198.0
9000302,500352,20246,22.0,14.12,310.64
9000303,500067,20253,8.0,10.35,82.8
9000304,500172,20028,15.0,21.17,317.55
9000305,500842,20265,45.0,26.07,1173.15
9000306,500636,20012,7.0,13.69,95.83
9000307,500681,20046,19.0,32.78,622.82
9000308,500558,20150,40.0,29.48,1179.2
9000309,500260,20049,42.0,13.58,570.36
9000310,500216,20214,17.0,39.57,672.69
9000311,500816,20131,1.0,40.3,40.3
9000312,500123,20112,45.0,69.45,3125.25
9000313,500804,20251,29.0,56.1,1626.9
9000314,500161,20340,13.0,11.69,151.97
9000315,500200,20052,48.0,34.99,1679.52
9000316,500453,20129,29.0,34.05,987.45
9000317,500401,20323,41.0,16.3,668.3
9000318,500461,20192,42.0,26.39,1108.38
9000319,500274,20078,6.0,6.51,39.06
9000320,500205,20056,5.0,6.4,32.0
9000321,500039,20096,34.0,7.18,244.12
9000322,500272,20197,11.0,25.37,279.07
9000323,500699,20134,9.0,26.1,234.9
9000324,500866,20146,38.0,17.04,647.52
9000325,500092,20171,40.0,56.41,2256.4
9000326,500041,20062,41.0,36.32,1489.12
9000327,500464,20064,9.0,7.7,69.3
9000328,500378,20294,8.0,18.12,144.96
9000329,500106,20210,44.0,11.43,502.92
9000330,500327,20108,40.0,25.75,1030.0
9000331,500064,20281,3.0,19.72,59.16
9000332,500364,20171,13.0,11.82,153.66
9000333,500820,20011,-14.0,55.52,1054.88
9000334,500483,20332,34.0,20.79,706.86
9000335,500646,20219,32.0,15.65,500.8
9000336,500023,20341,49.0,17.26,845.74
9000337,500539,20285,16.0,53.05,848.8
9000338,500061,20171,36.0,34.7,1249.2
9000339,500490,20235,18.0,18.22,327.96
9000340,500272,20165,14.0,11.08,155.12
9000341,500228,20186,30.0,12.16,364.8
9000342,500019,20169,2.0,15.04,30.08
9000343,500002,20051,13.0,27.23,353.99
9000344,500420,20318,27.0,31.62,853.74
9000345,500729,20188,17.0,13.0,221.0
9000346,500306,20119,31.0,32.47,1006.57
9000347,500431,20104,15.0,11.64,174.6
9000348,500135,20161,20.0,13.91,278.2
9000349,500514,20294,5.0,8.42,42.1
9000350,500192,20040,7.0,8.27,57.89
9000351,500584,20164,18.0,11.57,208.26
9000352,500414,20320,11.0,19.78,217.58
9000353,500872,20334,32.0,11.06,353.92
9000354,500117,20159,27.0,49.35,1332.45
9000355,500665,20263,26.0,11.48,298.48
9000356,500208,20017,37.0,22.43,829.91
9000357,500033,20172,45.0,44.35,1995.75
9000358,500648,20032,28.0,21.23,594.44
9000359,500317,20260,2.0,16.15,32.3
9000360,500119,20209,20.0,21.94,438.8
9000361,500626,20329,4.0,14.34,57.36
9000362,500524,20163,13.0,11.02,143.26
9000363,500580,20004,24.0,29.01,696.24
9000364,500844,20033,48.0,14.16,679.68
9000365,500768,20279,38.0,35.24,1339.12
9000366,500088,20144,40.0,32.39,1295.6
9000367,500511,20070,48.0,22.19,1065.12
9000368,500046,20347,45.0,35.96,1618.2
9000369,500771,20229,29.0,14.49,420.21
9000370,500739,20124,36.0,32.15,1157.4
9000371,500691,20277,2.0,32.05,64.1
9000372,500521,20270,41.0,16.76,687.16
9000373,500283,20014,18.0,15.52,279.36
9000374,500376,20241,49.0,24.47,1199.03
9000375,500637,20152,8.0,65.43,523.44
9000376,500133,20052,15.0,17.47,262.05
9000377,500666,20148,41.0,15.33,628.53
9000378,500247,20218,17.0,40.73,692.41
9000379,500651,20112,23.0,20.92,481.16
9000380,500317,20287,2.0,33.77,67.54
9000381,500435,20276,6.0,48.66,291.96
9000382,500175,20082,29.0,6.4,185.6
9000383,500834,20217,27.0,19.64,530.28
9000384,500685,20225,37.0,17.5,647.5
9000385,500585,20269,49.0,11.28,552.72
9000386,500350,20014,34.0,6.35,215.9
9000387,500142,20289,18.0,7.73,139.14
9000388,500803,20338,42.0,21.38,897.96
9000389,500397,20264,10.0,14.58,145.8
9000390,500623,20198,38.0,12.41,471.58
9000391,500717,20157,44.0,21.26,935.44
9000392,500642,20332,17.0,13.26,225.42
9000393,500368,20206,13.0,43.56,566.28
9000394,500500,20173,48.0,13.84,664.32
9000395,500621,20183,42.0,49.56,2081.52
9000396,500369,20264,27.0,19.73,532.71
9000397,500578,20245,2.0,13.58,27.16
9000398,500381,20035,34.0,13.0,442.0
9000399,500085,20258,31.0,49.81,1544.11
9000400,500786,20018,23.0,30.49,701.27
9000401,500738,20022,7.0,12.73,89.11
9000402,500459,20103,38.0,21.57,819.66
9000403,500324,20240,33.0,4.88,161.04
9000404,500521,20203,12.0,9.03,108.36
9000405,500488,20252,45.0,12.8,576.0
9000406,500396,20141,12.0,12.62,151.44
9000407,500895,20301,19.0,41.59,790.21
9000408,500354,20142,9.0,6.37,57.33
9000409,500287,20270,10.0,8.53,85.3
9000410,500458,20306,17.0,26.35,447.95
9000411,500623,20109,40.0,23.06,922.4
9000412,500535,20007,39.0,16.28,634.92
9000413,500290,20068,41.0,68.82,2821.62
9000414,500850,20189,10.0,29.09,290.9
9000415,500837,20178,12.0,41.83,501.96
9000416,500167,20062,15.0,19.48,292.2
9000417,500620,20067,31.0,14.5,449.5
9000418,500427,20205,15.0,14.6,219.0
9000419,500701,20005,28.0,35.04,981.12
9000420,500489,20118,4.0,31.93,127.72
9000421,500354,20312,36.0,17.62,634.32
9000422,500195,20030,1.0,26.65,26.65
9000423,500544,20005,44.0,35.79,1574.76
9000424,500716,20206,34.0,14.32,486.88
9000425,500823,20156,47.0,16.35,768.45
9000426,500693,20066,17.0,26.26,446.42
9000427,500658,20329,39.0,6.87,267.93
9000428,500779,20335,38.0,26.56,1009.28
9000429,500010,20288,44.0,10.23,450.12
9000430,500581,20139,33.0,35.34,1166.22
9000431,500255,20299,21.0,72.87,1530.27
9000432,500395,20012,26.0,13.22,343.72
9000433,500730,20151,46.0,8.94,411.24
9000434,500808,20312,36.0,18.03,649.08
9000435,500408,20108,5.0,17.13,85.65
9000436,500361,20148,33.0,29.86,985.38
9000437,500258,20203,1.0,23.11,23.11
9000438,500002,20306,6.0,16.81,100.86
9000439,500083,20020,37.0,21.21,784.77
9000440,500155,20059,2.0,10.24,20.48
9000441,500662,20020,5.0,33.03,165.15
9000442,500175,20244,26.0,53.03,1378.78
9000443,500706,20072,41.0,9.79,401.39
9000444,500471,20075,47.0,7.79,366.13
9000445,500618,20185,13.0,15.78,205.14
9000446,500423,20077,12.0,9.65,115.8
9000447,500133,20064,5.0,9.34,46.7
9000448,500787,20341,2.0,8.66,17.32
9000449,500863,20289,4.0,17.88,71.52
9000450,500379,20055,27.0,15.69,423.63
9000451,500666,20330,10.0,25.13,251.3
9000452,500276,20258,13.0,14.33,186.29
9000453,500235,20189,44.0,9.68,425.92
9000454,500751,20005,2.0,19.88,39.76
9000455,500881,20005,26.0,10.64,276.64
9000456,500012,20190,15.0,27.31,409.65
9000457,500341,20147,46.0,7.39,339.94
9000458,500034,20257,10.0,5.48,54.8
9000459,500558,20217,22.0,7.65,168.3
9000460,500213,20089,40.0,15.63,625.2
9000461,500411,20311,25.0,16.91,422.75
9000462,500404,20009,15.0,21.81,327.15
9000463,500493,20086,13.0,14.31,186.03
9000464,500657,20249,8.0,12.09,96.72
9000465,500158,20325,21.0,47.46,996.66
9000466,500636,20150,21.0,40.5,850.5
9000467,500109,20112,22.0,36.3,798.6
9000468,500548,20029,46.0,24.18,1112.28
9000469,500788,20127,33.0,25.36,836.88
9000470,500525,20077,45.0,12.39,557.55
9000471,500346,20054,27.0,21.9,591.3
9000472,500743,20304,40.0,11.43,457.2
9000473,500827,20033,22.0,10.68,234.96
9000474,500635,20104,30.0,7.61,228.3
9000475,500278,20171,9.0,25.63,230.67
9000476,500478,20021,45.0,22.16,997.2
9000477,500110,20286,35.0,16.75,586.25
9000478,500635,20104,18.0,15.48,278.64
9000479,500430,20148,42.0,6.7,281.4
9000480,500541,20271,5.0,23.43,117.15
9000481,500114,20275,27.0,16.62,448.74
9000482,500089,20298,6.0,34.38,206.28
9000483,500211,20171,32.0,21.93,701.76
9000484,500549,20046,8.0,30.68,245.44
9000485,500594,20113,39.0,20.0,780.0
9000486,500538,20274,21.0,22.4,470.4
9000487,500728,20303,18.0,35.12,632.16
9000488,500359,20206,14.0,17.9,250.6
9000489,500485,20241,15.0,26.66,399.9
9000490,500371,20300,42.0,15.39,646.38
9000491,500214,20195,26.0,18.57,482.82
9000492,500732,20163,44.0,52.25,2299.0
9000493,500014,20175,32.0,-29.5,944.0
9000494,500258,20342,39.0,14.51,565.89
9000495,500777,20270,28.0,,724.92
9000496,500462,20109,39.0,9.32,363.48
9000497,500119,20171,43.0,17.59,756.37
9000498,500127,20201,32.0,11.34,362.88
9000499,500722,20167,13.0,26.34,342.42
9000500,500522,20101,15.0,17.93,268.95
9000501,500687,20085,18.0,23.81,428.58
9000502,500644,20141,39.0,31.96,1246.44
9000503,500324,20336,6.0,15.24,91.44
9000504,500319,20212,11.0,15.57,171.27
9000505,500505,20050,32.0,19.64,628.48
9000506,500525,20111,40.0,11.99,479.6
9000507,500049,20270,20.0,19.95,399.0
9000508,500583,20064,33.0,20.59,679.47
9000509,500068,20343,40.0,23.04,921.6
9000510,500390,20182,8.0,25.84,206.72
9000511,500382,20331,35.0,7.68,268.8
9000512,500015,20009,5.0,9.29,46.45
9000513,500438,20233,35.0,9.97,348.95
9000514,500845,20297,47.0,21.23,997.81
9000515,500868,20243,14.0,16.93,237.02
9000516,500567,20266,21.0,5.15,108.15
9000517,500616,20117,47.0,64.6,3036.2
9000518,500131,20143,24.0,6.09,146.16
9000519,500559,20200,17.0,20.46,347.82
9000520,500247,20238,18.0,28.16,506.88
9000521,500272,20333,34.0,13.04,443.36
9000522,500622,20245,12.0,29.49,353.88
9000523,500837,20345,16.0,10.97,175.52
9000524,500847,20007,4.0,22.26,89.04
9000525,500348,20151,25.0,5.43,135.75
9000526,500483,20210,34.0,40.61,1380.74
9000527,500549,20157,28.0,20.1,562.8
9000528,500356,20057,46.0,7.72,355.12
9000529,500751,20085,11.0,29.29,322.19
9000530,500317,20054,13.0,53.48,695.24
9000531,500632,20200,31.0,11.52,357.12
9000532,500047,20121,25.0,17.71,442.75
9000533,500009,20107,39.0,14.75,575.25
9000534,500232,20303,10.0,12.65,126.5
9000535,500035,20131,24.0,11.88,285.12
9000536,500412,20197,1.0,13.63,13.63
9000537,500461,20046,25.0,14.08,352.0
9000538,500003,20227,28.0,16.22,454.16
9000539,500043,20244,36.0,15.53,559.08
9000540,500567,20202,18.0,31.71,570.78
9000541,500553,20260,6.0,30.06,180.36
9000542,500254,20177,2.0,8.0,16.0
9000543,500739,20023,3.0,14.07,42.21
9000544,500113,20174,46.0,42.54,1956.84
9000545,500748,20273,8.0,23.96,191.68
9000546,500396,20339,31.0,24.55,761.05
9000547,500173,20260,48.0,23.18,1112.64
9000548,500254,20285,19.0,17.17,326.23
9000549,500465,20000,6.0,19.6,117.6
9000550,500276,20085,14.0,15.76,220.64
9000551,500463,20337,3.0,33.56,100.68
9000552,500846,20068,48.0,15.85,760.8
9000553,500501,20030,1.0,18.77,18.77
9000554,500440,20197,44.0,31.22,1373.68
9000555,500068,20090,30.0,16.5,495.0
9000556,500508,20348,46.0,,885.5
9000557,500325,20015,19.0,16.2,307.8
9000558,500741,20309,19.0,19.04,361.76
9000559,500066,20275,9.0,16.53,148.77
9000560,500303,20337,7.0,14.56,101.92
9000561,500483,20161,46.0,13.13,603.98
9000562,500547,20191,37.0,18.11,670.07
9000563,500416,20150,41.0,37.0,1517.0
9000564,500158,20112,7.0,29.2,204.4
9000565,500148,20272,9.0,7.79,70.11
9000566,500026,20175,4.0,15.53,62.12
9000567,500583,20148,25.0,13.69,342.25
9000568,500247,20177,49.0,7.87,385.63
9000569,500100,20222,12.0,23.69,284.28
9000570,500701,20258,6.0,18.96,113.76
9000571,500095,20272,18.0,67.61,1216.98
9000572,500383,20188,40.0,16.44,657.6
9000573,500281,20305,21.0,12.61,264.81
9000574,500321,20089,15.0,11.9,178.5
9000575,500395,20342,3.0,15.32,45.96
9000576,500277,20261,2.0,28.62,57.24
9000577,500528,20155,41.0,30.66,1257.06
9000578,500262,20199,40.0,116.24,4649.6
9000579,500618,20054,4.0,9.74,38.96
9000580,500579,20253,32.0,21.15,676.8
9000581,500639,20172,2.0,13.32,26.64
9000582,500292,20199,46.0,24.79,1140.34
9000583,500293,20101,29.0,46.06,1335.74
9000584,500607,20284,2.0,33.69,67.38
9000585,500394,20150,34.0,9.73,330.82
9000586,500512,20110,27.0,30.29,817.83
9000587,500809,20265,39.0,5.65,220.35
9000588,500179,20090,44.0,4.82,212.08
9000589,500692,20176,38.0,17.3,657.4
9000590,500234,20230,18.0,28.97,521.46
9000591,500830,20028,36.0,24.75,891.0
9000592,500336,20300,19.0,63.02,1197.38
9000593,500007,20194,27.0,21.45,579.15
9000594,500442,20306,45.0,18.84,847.8
9000595,500538,20238,20.0,40.17,803.4
9000596,500819,20266,21.0,16.05,337.05
9000597,500657,20213,23.0,25.36,583.28
9000598,500090,20081,30.0,26.3,789.0
9000599,500853,20127,25.0,11.21,280.25
9000600,500271,20261,31.0,25.34,785.54
9000601,500833,20066,27.0,74.52,2012.04
9000602,500004,20061,34.0,39.73,1350.82
9000603,500593,20132,8.0,12.14,97.12
9000604,500898,20136,19.0,81.71,1552.49
9000605,500218,20027,41.0,30.37,1245.17
9000606,500117,20210,26.0,25.91,673.66
9000607,500592,20204,28.0,18.95,530.6
9000608,500581,20252,4.0,30.25,121.0
9000609,500114,20037,31.0,21.48,665.88
9000610,500262,20042,16.0,20.32,325.12
9000611,500305,20116,10.0,18.54,185.4
9000612,500653,20189,38.0,36.03,1369.14
9000613,500421,20045,48.0,33.71,1618.08
9000614,500206,20165,10.0,18.36,183.6
9000615,500622,20304,45.0,8.07,363.15
9000616,500302,20202,9.0,20.52,184.68
9000617,500111,20232,39.0,13.06,509.34
9000618,500416,20244,36.0,15.12,544.32
9000619,500554,20208,36.0,18.64,671.04
9000620,500858,20247,19.0,10.63,201.97
9000621,500284,20294,19.0,7.64,145.16
9000622,500639,20326,12.0,23.93,287.16
9000623,500184,20157,13.0,20.41,265.33
9000624,500740,20000,25.0,19.95,498.75
9000625,500220,20216,36.0,27.29,982.44
9000626,500863,20248,25.0,13.52,338.0
9000627,500443,20068,28.0,24.52,686.56
9000628,500116,20029,42.0,44.81,1882.02
